ride_name,current_wait_time,average_wait_time
Amerigoround,,8
BATMAN: The Ride,,20
Bahama Blaster,,4
Bamboo Chutes,,3
Bermuda Triangle,,4
Big Bender,,4
Blood Bayou Haunted House,,35
Blowout,,6
Boomerang,2,26
Buckarooz,,3
Bugs’ White Water Rapids,2,24
Buried Alive,,26
CarnEvil 3D,,35
Circuit Breaker Grand Prix – Electric Go-Karts,,4
Crow’s Nest,,8
Daffy’s School Bus Express,,3
Dare Devil Dive Flying Machines,,24
Der Pilger Bahnhof,,9
Der Twister,,6
Dr. Diabolical's Cliffhanger,2,
Dr. Diabolical’s Cliffhanger,,12
Fender Bender,,7
Fiesta Texas Railroad,,2
Fireball,,6
Foghorn Leghorn’s Barnyard Railway,,3
Go-Karts,,5
Goliath,2,18
Gully Washer,,36
Holiday Express,,12
Hometown Holidays,,5
Hurricane Force 5,,6
Hustler,,4
Iron Rattler,10,38
KID FLASH™ Cosmic Coaster,,20
Kinderstein,,3
Krazy Kars,,3
Lone Star Lagoon,,3
NEW Midnight Museum of the Macabre,,42
North Pole Reflections,,5
Pandemonium,,17
Paradise Cove,,3
Paradise Plunge,,2
Pirate Ship Play Zone,,2
Pirates of the Deep Sea,,15
Poltergeist,2,22
Riptide Runner,,2
Road Runner Express,2,23
RockKill High School,,47
SUPERMAN: Krypton Coaster,,24
Scooby-Doo Ghostblasters,,16
Scream,2,14
Screamin' Eagle Zipline,,3
Six Chuter,,7
SkyScreamer,2,19
Slaughterhouse 6,,31
Slingshot,,2
Spinsanity,,6
Splashwater Springs,,3
Splish Splash Zone,,5
Streamliner Coaster,,5
Super-Villains Swing,,3
Taz’s Tornado,,3
Texas Gunslinger,,5
Texas Treehouse,,3
Texas Tumble,,6
The Grand Carousel,,2
The Joker Carnival of Chaos,2,37
The Singing Saps,,5
Thunder Rapids Water Coaster,,7
Tornado,,5
Twister,,7
Typhoon Twister,,2
"Up, Up & Away",,4
WONDER WOMAN Golden Lasso Coaster,,37
Wave Runner,,5
Whirligig,,7
Whirlpool,,3
Whistle Stop,,9
White Water Canyon,,3
Yosemite Sam’s Wacky Wagons,,4
ZoomJets,,4
